"441569","Centre National de la Recherche Scientifique"
"441569","CNRS"
"300009","Inria"
"300009","Institut National de Recherche en Informatique et en Automatique"
"189","ID-IMAG"
"189","Informatique et Distribution"
"6818","?cole normale sup?rieure - Lyon"
"6818","ENS Lyon"
"301088","Universit? de Lyon"
"194495","UCBL"
"194495","Universit? Claude Bernard Lyon 1"
"35418","Laboratoire de l'Informatique du Parall?lisme"
"35418","LIP"
"2497","Inria Grenoble - Rh?ne-Alpes"
"194","VERIMAG"
"194","VERIMAG - IMAG"
"217395","Universit? de Yaound? I [Yaound?]"
"26713","Ecole Nationale Sup?rieure Polytechnique [Yaound?]"
"26713","ENSP"
"458810","UFC"
"458810","Universit? de Franche-Comt?"
"300360","Ecole Nationale Sup?rieure de M?canique et des Microtechniques"
"300360","ENSMM"
"300261","Universit? de Technologie de Belfort-Montbeliard"
"300261","UTBM"
"866","FEMTO-ST"
"866","Franche-Comt? ?lectronique M?canique Thermique et Optique - Sciences et Technologies"
"300568","Aucune"
"219748","INSA Lyon"
"219748","Institut National des Sciences Appliqu?es Lyon"
"203831","CITI"
"203831","CITI Centre of Innovation in Telecommunications and Integration of services"
"86790","Inria Paris-Rocquencourt"
"93591","Universit? Pierre et Marie Curie Paris 6"
"93591","UPMC"
"233","Laboratoire d'Informatique de Paris 6"
"233","LIP6"
"30978","UNIBO"
"30978","Universit? di Bologna [Bologna]"
"5095","Dipartimento di Scienze dell'Informazione [Bologna]"
"5095","DISI"
"84538","Mines Nantes"
"419153","Inria Rennes ? Bretagne Atlantique"
"92969","ULB"
"92969","Universit? Libre de Bruxelles [Bruxelles]"
"5591","D?partement d'Informatique [Bruxelles]"
"5591","ULB"
"300320","Universit? Louis Pasteur - Strasbourg I"
"34586","CRISAM"
"34586","Inria Sophia Antipolis - M?diterran?e"
"300351","CNAM"
"300351","Conservatoire National des Arts et M?tiers [CNAM]"
"93516","CNAM Paris"
"93516","Conservatoire National des Arts et M?tiers - Paris"
"302133","RMIT University [Melbourne]"
"6180","Computer Science and Information Technology"
"6180","CSIT"
"300717","UC San Diego"
"300717","University of California San Diego"
"7103","GRAIL"
"7103","Grid Research and Innovation Laboratory"
"300693","University of California Santa Barbara [Santa Barbara]"
"7104","Department of Computer Science [Santa Barbara]"
"62433","Vrije Universiteit Amsterdam [Amsterdam]"
"7724","Computational Intelligence Group Department of Conputer Science"
"7724","VU"
"117617","Universit? Nice Sophia Antipolis"
"117617","UNS"
"13009","I3S"
"13009","Laboratoire d'Informatique Signaux et Syst?mes de Sophia Antipolis"
"452158","Signal, Images et Syst?mes"
"452158","SIS"
"2381","MISTIS"
"2381","MISTIS"
"2381","Modelling and Inference of Complex and Structured Stochastic Systems"
"2381","Modelling and Inference of Complex and Structured Stochastic Systems"
"44946","MISTIS"
"44946","MISTIS"
"44946","Modelling and Inference of Complex and Structured Stochastic Systems"
"44946","Modelling and Inference of Complex and Structured Stochastic Systems"
"7736","PSA"
"7736","PSA Peugeot - Citro?n"
"300041","IRCICA"
"104752","Inria Lille - Nord Europe"
"301700","Universit? de Lille Sciences Humaines et Sociales"
"92973","Universit? de Lille Sciences et Technologies"
"2546","Laboratoire d'Informatique Fondamentale de Lille"
"2546","LIFL"
"2463","ICARE"
"2463","Instrumentation control and architecture of advanced robots"
"366135","University of Tsukuba"
"105513","Department of Computer Science [Tsukuba]"
"300518","France T?l?com"
"2545","France T?l?com Recherche & D?veloppement"
"2545","FT R&D"
"2465","MAESTRO"
"2465","Models for the performance analysis and the control of networks"
"207728","Inria Si?ge"
"366534","University of S?o Paulo"
"366534","USP"
"11144","Department of Computer Science"
"11144","USP"
"6578","PJIIT"
"6578","Polish-Japanese Institute of Information Technology"
"53197","Institute of Computer Science [Warszawa]"
"147540","Victoria University of Wellington"
