"1","cnrs","441569"
"2","c.n.r.s","441569"
"3","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE","441569"
"4","C.N.R.S.","441569"
"5","Inria","300009"
"6","INRIA","300009"
"7","I.n.r.i.a","300009"
"8","inria","300009"
"9","Institut National de Recherche en Informatique et en Automatique","300009"
"10","ID-IMAG","189"
"11","Informatique et Distribution","189"
"12","?cole normale sup?rieure - Lyon","6818"
"13","Ecole normale superieure - Lyon","6818"
"14","Ecole normale superieure de Lyon","6818"
"15","Lyon ecole normale superieure","6818"
"16","ENS Lyon","6818"
"17","Universit? de Lyon","301088"
"18","UCBL","194495"
"19","Universit? Claude Bernard Lyon 1","194495"
"20","Laboratoire de l'Informatique du Parall?lisme","35418"
"21","LIP","35418"
"22","Inria Grenoble - Rh?ne-Alpes","2497"
"23","VERIMAG","194"
"24","VERIMAG - IMAG","194"
"25","Universit? de Yaound? I [Yaound?]","217395"
"26","Ecole Nationale Sup?rieure Polytechnique [Yaound?]","26713"
"27","ENSP","26713"
"28","UFC","458810"
"29","Universit? de Franche-Comt?","458810"
"30","Ecole Nationale Sup?rieure de M?canique et des Microtechniques","300360"
"31","ENSMM","300360"
"32","Universit? de Technologie de Belfort-Montbeliard","300261"
"33","UTBM","300261"
"34","FEMTO-ST","866"
"35","Franche-Comt? ?lectronique M?canique, Thermique et Optique - Sciences et Technologies","866"
"36","Aucune","300568"
"37","INSA Lyon","219748"
"38","Institut National des Sciences Appliqu?es Lyon","219748"
"39","CITI","203831"
"40","CITI Centre of Innovation in Telecommunications and Integration of services","203831"
"41","Inria Paris-Rocquencourt","86790"
"42","Universit? Pierre et Marie Curie - Paris 6","93591"
"43","UPMC","93591"
"44","Laboratoire d'Informatique de Paris 6","233"
"45","LIP6","233"
"46","UNIBO","30978"
"47","Universit? di Bologna [Bologna]","30978"
"48","Dipartimento di Scienze dell'Informazione [Bologna]","5095"
"49","DISI","5095"
"50","Mines Nantes","84538"
"51","Inria Rennes ? Bretagne Atlantique","419153"
"52","ULB","92969"
"53","Universit? Libre de Bruxelles [Bruxelles]","92969"
"54","D?partement d'Informatique [Bruxelles]","5591"
"55","ULB","5591"
"56","Universit? Louis Pasteur - Strasbourg I","300320"
"57","CRISAM","34586"
"58","Inria Sophia Antipolis - M?diterran?e","34586"
"59","CNAM","300351"
"60","Conservatoire National des Arts et M?tiers [CNAM]","300351"
"61","CNAM Paris","93516"
"62","Conservatoire National des Arts et M?tiers - Paris","93516"
"63","RMIT University [Melbourne]","302133"
"64","Computer Science and Information Technology","6180"
"65","CSIT","6180"
"66","UC San Diego","300717"
"67","University of California, San Diego","300717"
"68","GRAIL","7103"
"69","Grid Research and Innovation Laboratory","7103"
"70","University of California, Santa Barbara [Santa Barbara]","300693"
"71","Department of Computer Science [Santa Barbara]","7104"
"72","Vrije Universiteit Amsterdam [Amsterdam]","62433"
"73","Computational Intelligence Group Department of Conputer Science","7724"
"74","VU","7724"
"75","Universit? Nice Sophia Antipolis","117617"
"76","UNS","117617"
"77","I3S","13009"
"78","Laboratoire d'Informatique, Signaux, et Syst?mes de Sophia Antipolis","13009"
"79","Signal, Images et Syst?mes","452158"
"80","SIS","452158"
"81","MISTIS","2381 44946"
"82","Modelling and Inference of Complex and Structured Stochastic Systems","2381 44946"
"83","PSA","7736"
"84","PSA Peugeot - Citro?n","7736"
"85","IRCICA","300041"
"86","Inria Lille - Nord Europe","104752"
"87","Universit? de Lille, Sciences Humaines et Sociales","301700"
"88","Universit? de Lille, Sciences et Technologies","92973"
"89","Laboratoire d'Informatique Fondamentale de Lille","2546"
"90","LIFL","2546"
"91","ICARE","2463"
"92","Instrumentation, control and architecture of advanced robots","2463"
"93","University of Tsukuba","366135"
"94","Department of Computer Science [Tsukuba]","105513"
"95","France T?l?com","300518"
"96","France T?l?com Recherche & D?veloppement","2545"
"97","FT R&D","2545"
"98","MAESTRO","2465"
"99","Models for the performance analysis and the control of networks","2465"
"100","Inria Si?ge","207728"
"101","University of S?o Paulo","366534"
"102","USP","366534"
